YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,CRY ROSE,SCA GUAC,SCA ISER,SCA TAEN,SCA VETU,SPA ATOM,SPA AURO,SPA CHRY,SPA RADI,SPA RUBR,SPA VIRI
2021,STTSTJ,HARD_DEEP,0,5090,0,0,1,10,0,0,3,0,0,0,1
2021,STTSTJ,HARD_DEEP,0,5104,0,0,0.5,3.5,0,5.5,12.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5128,0,0,17.5,1.5,0.5,0.5,3,0,0,2.5,3.5
2021,STTSTJ,HARD_DEEP,0,5147,0,0,0,2,0,1,0.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5148,0,0,0,3.5,0.5,0,4.5,1.5,0,0,1
2021,STTSTJ,HARD_DEEP,0,5152,0,0,0,0,0,0,3,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5163,0,0,5,2,1.5,0,4,0,0,0,2
2021,STTSTJ,HARD_DEEP,0,5167,0,0,8,1.5,0,0,4.5,1.5,0,0,1.5
2021,STTSTJ,HARD_DEEP,0,5172,0,0,0,0,0,2,0,0,5,0,0
2021,STTSTJ,HARD_DEEP,0,5184,0,0,3.5,1,0,0,4.5,0,0,0,3
2021,STTSTJ,HARD_DEEP,0,5188,0,0,0,9.5,0,0,3,0,0,0,1.5
2021,STTSTJ,HARD_DEEP,0,5189,0,0,5.5,4.5,0,0,6.5,0,0,0,2
2021,STTSTJ,HARD_DEEP,0,5230,0,0,2,0,0,1.5,0.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5263,0,0,0,0,0,0,2,0,0.5,0,0
2021,STTSTJ,HARD_DEEP,0,5266,7.5,0,0,0,0,0,0,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5317,7,0,4.5,0,0,0,0,0,1,0,0
2021,STTSTJ,HARD_DEEP,0,5323,0,0,4.5,0,0,0,9,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5372,9.5,0,0,0,0,6,3.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5405,0,0,7,0.5,0,0,7,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5414,0,0,26,6.5,0,0.5,8,0,2.5,0,2
2021,STTSTJ,HARD_DEEP,0,5423,0,0,2.5,0,0,0,1.5,0,0.5,0,0
2021,STTSTJ,HARD_DEEP,0,5428,0,0,0,0,0,0,1,0.5,0,0,0
2021,STTSTJ,HARD_DEEP,0,5435,3.5,0,0,0,0,0,2,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5437,0,0,9.5,2.5,0,2,7.5,0,0,0,5
2021,STTSTJ,HARD_DEEP,0,5438,0,0,0,0,0,0,0,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5450,0,0,1,4,0,1,5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5461,0,0,3.5,4.5,0,0.5,11.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5470,0,0,0,0.5,0,2,2.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5471,0,0,0,0,0,0.5,6,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5473,1.5,0,1.5,11.5,0,1,10,0,0,0,2
2021,STTSTJ,HARD_SHLW,0,5009,0,0,0.5,8.5,0.5,0,13.5,0,0,0,6
2021,STTSTJ,HARD_SHLW,0,5011,0,0,3.5,10.5,0.5,0,16,0,0,0,2.5
2021,STTSTJ,HARD_SHLW,0,5419,0,0,23,0,0,0,7,0,0,0.5,5.5
2021,STTSTJ,HARD_SHLW,0,5475,0,0,1,0,0,0,9.5,0,0,0,0
2021,STTSTJ,PTRF_DEEP,0,5086,0,0,13,4,0,3,6,0,0,0,4.5
2021,STTSTJ,PTRF_DEEP,0,5107,0,0,15,3.5,0,0,11.5,0,0,0,5.5
2021,STTSTJ,PTRF_DEEP,0,5116,0,0,3.5,1,0,0,4,0,0,0.5,2
2021,STTSTJ,PTRF_DEEP,0,5168,0,0,26.5,0,0,0,13.5,0,0,0,7
2021,STTSTJ,PTRF_DEEP,0,5320,1.5,0,39.5,0,0,0,15,0,0,0,0
2021,STTSTJ,PTRF_DEEP,0,5339,0,0,18.5,0,0,0,7,0.5,0,0,1.5
2021,STTSTJ,PTRF_SHLW,0,5166,0,0,22.5,1.5,0,0,11,0,0,0.5,5
2021,STTSTJ,PTRF_SHLW,0,5190,0,0,15.5,6,0,0,9,2,0,0,2
2021,STTSTJ,PTRF_SHLW,0,5289,0,0,3,19,0,0.5,2.5,0,1,0,7
2021,STTSTJ,PTRF_SHLW,0,5299,0,0,9,0,0,0,1.5,0,0,0,4
